Contest_ID	Pref_Voter_ID	Serial Number	Tally_Type	Precinct_ID	Vote_Rank	CandidateID	Over-Vote	Under_Vote	Vote Rank2	CandID2	OverVote	UnderVote	VoteRank3	CandID3	OverVote	UnderVote
85	77675	142	1	142	1	436	0	0	2	437	0	0	3	433	0	0
85	77676	142	1	142	1	433	0	0	2	435	0	0	3	0	0	1
85	77677	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77678	142	1	142	1	435	0	0	2	433	0	0	3	436	0	0
85	77679	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77680	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77681	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77682	142	1	142	1	437	0	0	2	436	0	0	3	434	0	0
85	77683	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77684	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77685	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77686	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77687	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77688	142	1	142	1	433	0	0	2	437	0	0	3	435	0	0
85	77689	142	1	142	1	433	0	0	2	433	0	0	3	433	0	0
85	77690	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77691	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77692	142	1	142	1	433	0	0	2	436	0	0	3	435	0	0
85	77693	142	1	142	1	437	0	0	2	433	0	0	3	0	0	1
85	77694	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77695	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77696	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77697	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77698	142	1	142	1	435	0	0	2	437	0	0	3	434	0	0
85	77699	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77700	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77701	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77702	142	1	142	1	433	0	0	2	437	0	0	3	0	0	1
85	77703	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77704	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77705	142	1	142	1	436	0	0	2	436	0	0	3	433	0	0
85	77706	142	1	142	1	436	0	0	2	437	0	0	3	433	0	0
85	77707	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77708	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77709	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77710	142	1	142	1	437	0	0	2	437	0	0	3	437	0	0
85	77711	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77712	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77713	142	1	142	1	433	0	0	2	435	0	0	3	433	0	0
85	77714	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77715	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77716	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77717	142	1	142	1	437	0	0	2	433	0	0	3	436	0	0
85	77718	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77719	142	1	142	1	433	0	0	2	435	0	0	3	437	0	0
85	77720	142	1	142	1	435	0	0	2	436	0	0	3	435	0	0
